ID,Name,Sex,Age,Height,Weight,Nationality
184,Mohamed Abed Abdul Jawad,M,22,169,65,KSA
185,Abdul Aziz Hassan Al-Hadba Abdul Karim Abdul Kareem,M,23,169,60,KUW
186,Taha Abdul Karim,M,20,156,59,IRQ
187,Masoud Abdul Khamis Al-Rahman,M,17,176,68,QAT
188,Abdul Haji Abdul Latheef,M,17,168,54,MDV
189,Majed Ahmed Abdul Mohamed,M,26,172,70,KSA
190,Firouz Abdul Mohammadian,M,34,178,74,IRI
191,Hussam Abdul Rahman,M,30,175,80,JOR
192,Suleman Abdul Rahman,M,29,174,55,ETH
193,Zambrose Abdul Rahman,M,24,173,64,MAS
194,Lala Abdul Rashid,M,38,169,91,PAK
195,Muhammad Abdul Rashid,M,23,181,72,PAK
196,Samir Ahmed Abdul Shakour,M,24,180,72,KSA
197,Patmawati Abdul Wahid,F,32,158,58,INA
198,Haidar Abdul-Amir Hassan,M,21,185,80,IRQ
199,Haidar Abdul-Razzaq Hassan,M,22,175,75,IRQ
200,Mona Ahmad Abdulaziz Hassanein,F,26,166,61,EGY
